MountainCar_mu0_higher,IWLastEpisode,ReturnStepMax,DenMISELogFirst,ReturnAbsMax,Iteration,MountainCar_std1_higher,ReturnMax,ReturnLastEpisode,ReturnMin,IWMean,NumTrajectories,Regret,NumTrainableParams,MinEpLen,DenMISELogLast,IWFirstEpisode,GridSize,TimestepsSoFar,MountainCar_mu1_higher,DenMISEMeanLog,Delta,Bound,AvgEpLen,Regret/t,IWMin,ActionIn1,TimeElapsed,IWMax,ReturnMean,MountainCar_std0_higher
-1.0,34211.24,27.878124,-9.178617,2.7706063,35,1.5,,-1.4495343,-2.7706063,1.1306414e+24,35,236.513,,999,-11.394481,4.5578363e-18,16,34965,-10.0,-28.586313,5.8384353e-06,inf,999.0,6.757514,,-10.088163,16.447247982025146,9.929083e+24,-1.7575141,0.14999999
-1.0,1010.6599,27.878124,-9.206787,2.7706063,36,1.5,,-1.1003503,-2.7706063,1.1306322e+24,36,242.61334,,999,-8.9229555,4.688063e-18,16,35964,-10.0,-28.04737,5.5185833e-06,inf,999.0,6.7392597,,-11.508071,16.952900409698486,1.0212778e+25,-1.7392596,0.14999999
-1.0,4.3168764,27.878124,-9.234186,2.7706063,37,1.5,,-2.174138,-2.7706063,1.130622e+24,37,249.78748,,999,-2.0508223,4.8182783e-18,16,36963,-10.0,-27.351624,5.224312e-06,inf,999.0,6.751013,,-11.050903,17.454863786697388,1.0496487e+25,-1.751013,0.14999999
-1.0,0.19065626,27.878124,-9.260855,2.7706063,38,1.5,,-2.586408,-2.7706063,1.1306128e+24,38,257.3739,,999,0.24297693,4.9485224e-18,16,37962,-10.0,-26.631948,4.9529667e-06,inf,999.0,6.772997,,-11.641406,17.990267992019653,1.0780138e+25,-1.772997,0.14999999
-1.0,12122.6875,27.878124,-9.28683,2.7706063,39,1.5,,-1.5922629,-2.7706063,1.13060736e+24,39,263.96616,,999,-10.036051,5.0787405e-18,16,38961,-10.0,-26.21258,4.7022245e-06,inf,999.0,6.768363,,-9.184494,18.44460940361023,1.1063854e+25,-1.7683628,0.14999999
-1.0,1.3656618e+25,27.878124,-9.312148,2.7706063,40,1.5,,-1.8612512,-2.7706063,1.4720124e+24,40,270.8274,,999,-58.950916,5.2089664e-18,16,39960,-10.0,-27.03689,4.4700523e-06,inf,999.0,6.770685,,-11.390316,18.928030729293823,1.3656618e+25,-1.770685,0.14999999
-1.0,2.0506413,27.878124,-9.336841,2.7706063,41,1.5,,-1.9290899,-2.7706063,1.4720048e+24,41,277.7565,,999,-1.1047058,5.3391903e-18,16,40959,-10.0,-26.41058,4.2546603e-06,inf,999.0,6.7745485,,-10.9191265,19.47612714767456,1.3998033e+25,-1.7745486,0.14999999
-1.0,4.0179024,29.91405,-9.360938,2.974019,42,1.5,,-2.974019,-2.974019,1.4719977e+24,42,285.73053,,999,-4.157785,5.4694137e-18,16,41958,-10.0,-25.88664,4.0544687e-06,inf,999.0,6.8031073,,-10.379954,19.97336220741272,1.4339446e+25,-1.8031075,0.14999999
-1.0,509.83322,29.91405,-9.384469,2.974019,43,1.5,,-1.8899878,-2.974019,1.4719921e+24,43,292.62048,,999,-6.6663876,5.5996298e-18,16,42957,-10.0,-25.44527,3.868082e-06,inf,999.0,6.805128,,-12.30003,20.446977376937866,1.468084e+25,-1.8051279,0.14999999
-1.0,8515435400000.0,29.91405,-9.407458,2.974019,44,1.5,,-2.1573632,-2.974019,1.4719823e+24,44,299.77786,,999,-30.635069,5.7298636e-18,16,43956,-10.0,-25.568573,3.6942577e-06,inf,999.0,6.8131332,,-10.462063,20.950018167495728,1.5022224e+25,-1.8131332,0.14999999
-1.0,2044.3636,29.91405,-9.429931,2.974019,45,1.5,,-2.3199534,-2.974019,1.4719784e+24,45,307.0978,,999,-8.462085,5.860085e-18,16,44955,-10.0,-25.193544,3.5318933e-06,inf,999.0,6.8243957,,-12.668781,21.493494033813477,1.536363e+25,-1.8243958,0.14999999
-1.0,1.6125902e+25,29.91405,-9.45191,2.974019,46,1.5,,-1.781094,-2.974019,1.8225351e+24,46,313.8789,,999,-59.056805,5.990317e-18,16,45954,-10.0,-25.934591,3.3800018e-06,inf,999.0,6.8234544,,-9.08851,22.06300926208496,1.6125902e+25,-1.8234545,0.14999999
-1.0,1.2558721e+25,29.91405,-9.473416,2.974019,47,1.5,,-2.0948222,-2.974019,2.0894775e+24,47,320.97372,,999,-59.11219,6.1205244e-18,16,46953,-10.0,-26.645632,3.2377015e-06,inf,999.0,6.8292284,,-8.441276,22.582384824752808,1.6464231e+25,-1.8292283,0.14999999
-1.0,5.0880605e+24,29.91405,-9.49447,2.974019,48,1.5,,-1.3876276,-2.974019,2.1952138e+24,48,327.36136,,999,-59.133244,6.250748e-18,16,47952,-10.0,-27.327826,3.1042032e-06,inf,999.0,6.8200283,,-11.964897,23.10043740272522,1.6802092e+25,-1.8200283,0.14999999
-1.0,14994090.0,29.91405,-9.515089,2.974019,49,1.5,,-1.9870604,-2.974019,2.1949494e+24,49,334.34842,,999,-17.09553,6.3809908e-18,16,48951,-10.0,-27.124577,2.9787932e-06,inf,999.0,6.823437,,-10.792477,23.639854192733765,1.7139498e+25,-1.8234371,0.14999999
-1.0,0.110471815,29.91405,-9.535292,2.974019,50,1.5,,-1.4223076,-2.974019,2.1946857e+24,50,340.77072,,999,1.3728077,6.5112146e-18,16,49950,-10.0,-26.55998,2.8608335e-06,inf,999.0,6.8154144,,-8.548956,24.17292284965515,1.7476345e+25,-1.8154145,0.14999999
-1.0,4.2450065e+22,29.91405,-9.555095,2.974019,51,1.5,,-0.5188964,-2.974019,2.1952548e+24,51,346.2896,,999,-59.193867,6.641435e-18,16,50949,-10.0,-27.205,2.7497433e-06,inf,999.0,6.789993,,-9.790867,24.743584156036377,1.7812743e+25,-1.7899927,0.14999999
-1.0,4186841300.0,29.91405,-9.5745125,2.974019,52,1.5,,-1.4054698,-2.974019,2.1949948e+24,52,352.6951,,999,-23.283354,6.771651e-18,16,51948,-10.0,-27.134907,2.6450014e-06,inf,999.0,6.782598,,-10.622278,25.323317527770996,1.8148623e+25,-1.782598,0.14999999
-1.0,7.15263,29.91405,-9.59356,2.974019,53,1.5,,-2.0673552,-2.974019,2.1947331e+24,53,359.76245,,999,-2.4416661,6.901865e-18,16,52947,-10.0,-26.674114,2.5461316e-06,inf,999.0,6.7879705,,-10.608686,25.897021532058716,1.8483995e+25,-1.7879708,0.14999999
-1.0,12.99212,29.91405,-9.612252,2.974019,54,1.5,,-2.1415966,-2.974019,2.1944732e+24,54,366.90405,,999,-3.0951757,7.032088e-18,16,53946,-10.0,-26.242395,2.4527033e-06,inf,999.0,6.7945194,,-13.780932,26.482825994491577,1.8818959e+25,-1.7945193,0.14999999
-1.0,3.9654433e+24,29.91405,-9.630602,2.974019,55,1.5,,-1.445092,-2.974019,2.2663108e+24,55,373.34912,,999,-59.269375,7.162309e-18,16,54945,-10.0,-26.847633,2.3643252e-06,inf,999.0,6.788166,,-10.058189,26.949174642562866,1.9153343e+25,-1.7881662,0.14999999
-1.0,53425340000000.0,29.91405,-9.648621,2.974019,56,1.5,,-2.8995914,-2.974019,2.2660527e+24,56,381.24872,,999,-34.29005,7.292548e-18,16,55944,-10.0,-26.985441,2.2806387e-06,inf,999.0,6.808013,,-10.638092,27.480504989624023,1.9487274e+25,-1.8080131,0.14999999
-1.0,1.6533897,29.91405,-9.66632,2.974019,57,1.5,,-1.8460181,-2.974019,2.2657898e+24,57,388.09476,,999,-0.87799203,7.422776e-18,16,56943,-10.0,-26.532145,2.2013185e-06,inf,999.0,6.8086796,,-11.842258,27.99638295173645,1.9820676e+25,-1.8086798,0.14999999
-1.0,1822804.6,29.91405,-9.683712,2.974019,58,1.5,,-1.8334098,-2.974019,2.265535e+24,58,394.92816,,999,-14.949532,7.552997e-18,16,57942,-10.0,-26.337011,2.1260653e-06,inf,999.0,6.8091063,,-6.9188237,28.686550617218018,2.015363e+25,-1.8091062,0.14999999
-1.0,5.343249e+21,34.23079,-9.700806,3.455834,59,1.5,,-3.455834,-3.455834,2.2653647e+24,59,403.38397,,999,-59.33958,7.683215e-18,16,58941,-10.0,-26.900791,2.0546058e-06,inf,999.0,6.8370166,,-9.110198,29.3154878616333,2.0486002e+25,-1.8370167,0.14999999
-1.0,1.8204579e+25,34.23079,-9.717613,3.455834,60,1.5,,-1.68326,-3.455834,2.5685174e+24,60,410.06726,,999,-59.356384,7.813442e-18,16,59940,-10.0,-27.446264,1.98669e-06,inf,999.0,6.834454,,-13.093061,29.80608367919922,2.0817978e+25,-1.8344542,0.14999999
-1.0,1.6340467e+25,34.23079,-9.734142,3.455834,61,1.5,,-1.9136662,-3.455834,2.8361367e+24,61,416.98093,,999,-59.372917,7.943665e-18,16,60939,-10.0,-27.974329,1.9220863e-06,inf,999.0,6.8357525,,-12.277803,30.350707054138184,2.1149443e+25,-1.8357527,0.14999999
-1.0,21289067000000.0,34.23079,-9.750403,3.455834,62,1.5,,-2.0254924,-3.455834,2.8358745e+24,62,424.0064,,999,-31.432158,8.0739015e-18,16,61938,-10.0,-28.03489,1.8605837e-06,inf,999.0,6.838813,,-12.660502,30.800750732421875,2.1480452e+25,-1.8388131,0.14999999
-1.0,3.5138055e+17,34.23079,-9.766403,3.455834,63,1.5,,-2.7400286,-3.455834,2.835624e+24,63,431.74643,,999,-42.768738,8.204113e-18,16,62937,-10.0,-28.273397,1.8019862e-06,inf,999.0,6.853118,,-10.729249,31.30897331237793,2.1810978e+25,-1.8531181,0.14999999
-1.0,0.44984183,34.23079,-9.782152,3.455834,64,1.5,,-1.8321661,-3.455834,2.835364e+24,64,438.5786,,999,0.43507108,8.334326e-18,16,63936,-10.0,-27.829319,1.7461142e-06,inf,999.0,6.852791,,-14.623752,31.801764965057373,2.2140935e+25,-1.8527906,0.14999999
-1.0,2.5485506e+24,34.23079,-9.797656,3.455834,65,1.5,,-1.9890593,-3.455834,2.874314e+24,65,445.56766,,999,-59.436428,8.464572e-18,25,64935,-10.0,-28.319933,1.1068314e-06,inf,999.0,6.854887,,-8.412205,32.27682614326477,2.247048e+25,-1.854887,0.14999999
-1.0,9.369627e+24,34.23079,-9.812923,3.455834,66,1.5,,-1.5787345,-3.455834,3.0160288e+24,66,452.1464,,999,-59.4517,8.594787e-18,25,65934,-10.0,-28.79608,1.073545e-06,inf,999.0,6.850703,,-8.841852,33.774683237075806,2.279954e+25,-1.8507029,0.14999999
-1.0,1.6948672e+25,34.23079,-9.827961,3.455834,67,1.5,,-1.8481916,-3.455834,3.268739e+24,67,458.9946,,999,-59.466736,8.7250085e-18,25,66933,-10.0,-29.2584,1.0417382e-06,inf,999.0,6.8506656,,-9.439437,34.28031301498413,2.312812e+25,-1.8506656,0.14999999
-1.0,1.4101418e+25,34.23079,-9.842776,3.455834,68,1.5,,-2.2576017,-3.455834,3.4758528e+24,68,466.2522,,999,-59.14817,8.855243e-18,25,67932,-10.0,-29.70259,1.011324e-06,inf,999.0,6.85665,,-11.085146,34.819724321365356,2.3456248e+25,-1.85665,0.14999999
-1.0,0.51764095,34.23079,-9.857375,3.455834,69,1.5,,-1.3493524,-3.455834,3.4747253e+24,69,472.60156,,999,-0.48137993,8.985467e-18,25,68931,-10.0,-29.283749,9.822227e-07,inf,999.0,6.8492975,,-12.433024,35.31435227394104,2.3783858e+25,-1.8492978,0.14999999
-1.0,2.4461764e+20,34.23079,-9.871764,3.455834,70,1.5,,-1.6587883,-3.455834,3.4736095e+24,70,479.2603,,999,-47.877815,9.115694e-18,25,69930,-10.0,-29.553896,9.543596e-07,inf,999.0,6.846576,,-10.372452,35.81247568130493,2.4110985e+25,-1.8465761,0.14999999
-1.0,24151.691,34.23079,-9.885948,3.455834,71,1.5,,-2.2767556,-3.455834,3.4725004e+24,71,486.53708,,999,-10.897504,9.245904e-18,25,70929,-10.0,-29.29552,9.276656e-07,inf,999.0,6.852635,,-14.091441,36.31049871444702,2.443767e+25,-1.8526349,0.14999999
-1.0,5.931887e+23,34.23079,-9.899935,3.455834,72,1.5,,-3.044843,-3.455834,3.4796344e+24,72,494.58194,,999,-59.538708,9.376113e-18,25,71928,-10.0,-29.719835,9.020761e-07,inf,999.0,6.8691936,,-10.937777,36.80259561538696,2.4763868e+25,-1.8691936,0.14999999
-1.0,0.13223621,34.23079,-9.913728,3.455834,73,1.5,,-1.3937728,-3.455834,3.4785383e+24,73,500.9757,,999,1.0160389,9.5063426e-18,25,72927,-10.0,-29.303135,8.775309e-07,inf,999.0,6.862681,,-11.741573,37.29238033294678,2.5089539e+25,-1.8626809,0.14999999
-1.0,10299.229,34.23079,-9.927334,3.455834,74,1.5,,-1.9178946,-3.455834,3.4774493e+24,74,507.8936,,999,-9.709437,9.63658e-18,25,73926,-10.0,-29.04258,8.539741e-07,inf,999.0,6.8634267,,-8.622074,37.84353590011597,2.541484e+25,-1.8634268,0.14999999
-1.0,1.3670587e+25,34.23079,-9.940757,3.455834,75,1.5,,-1.6057116,-3.455834,3.6586376e+24,75,514.49927,,999,-59.57953,9.766813e-18,25,74925,-10.0,-29.453848,8.3135325e-07,inf,999.0,6.8599906,,-12.1943245,38.39177370071411,2.5739644e+25,-1.8599906,0.14999999
-1.0,120539750000.0,34.23079,-9.954002,3.455834,76,1.5,,-2.1068316,-3.455834,3.6575677e+24,76,521.60614,,999,-26.251574,9.897031e-18,25,75924,-10.0,-29.41589,8.096195e-07,inf,999.0,6.863239,,-12.027045,38.961833238601685,2.6063926e+25,-1.8632387,0.14999999
-1.0,4743715300.0,34.23079,-9.967074,3.455834,77,1.5,,-1.7719071,-3.455834,3.6564946e+24,77,528.37805,,999,-22.894144,1.0027264e-17,25,76923,-10.0,-29.335258,7.88727e-07,inf,999.0,6.862053,,-10.038136,39.51925086975098,2.6387763e+25,-1.8620527,0.14999999
-1.0,11016828000000.0,34.23079,-9.979978,3.455834,78,1.5,,-2.7227833,-3.455834,3.6554365e+24,78,536.1008,,999,-32.09423,1.0157467e-17,25,77922,-10.0,-29.37459,7.6863284e-07,inf,999.0,6.8730874,,-11.960632,40.11007022857666,2.671114e+25,-1.8730875,0.14999999
-1.0,15153166.0,34.23079,-9.992717,3.455834,79,1.5,,-1.998853,-3.455834,3.6543798e+24,79,543.09973,,999,-17.0983,1.02877115e-17,25,78921,-10.0,-29.223055,7.49297e-07,inf,999.0,6.8746796,,-11.783838,40.650888442993164,2.7034045e+25,-1.8746798,0.14999999
-1.0,695633.06,34.23079,-10.005295,3.455834,80,1.5,,-1.7339567,-3.455834,3.653336e+24,80,549.8336,,999,-14.0434475,1.0417918e-17,25,79920,-10.0,-29.037073,7.306816e-07,inf,999.0,6.8729205,,-10.417744,41.12119746208191,2.735647e+25,-1.8729206,0.14999999
-1.0,1.0381701,34.23079,-10.017717,3.455834,81,1.5,,-1.1158572,-3.455834,3.652292e+24,81,555.94946,,999,-1.8747885,1.0548122e-17,25,80919,-10.0,-28.70541,7.1275144e-07,inf,999.0,6.863574,,-11.698699,41.69572353363037,2.7678413e+25,-1.863574,0.14999999
-1.0,3723400.5,34.23079,-10.029988,3.455834,82,1.5,,-1.3371038,-3.455834,3.6512618e+24,82,562.2866,,999,-16.464333,1.0678365e-17,25,81918,-10.0,-28.559704,6.954733e-07,inf,999.0,6.857154,,-10.458253,42.209845304489136,2.799987e+25,-1.8571538,0.14999999
-1.0,332.11963,34.23079,-10.0421095,3.455834,83,1.5,,-2.0986624,-3.455834,3.6502308e+24,83,569.38525,,999,-6.327042,1.0808609e-17,25,82917,-10.0,-28.295334,6.788158e-07,inf,999.0,6.8600636,,-8.390717,42.77714943885803,2.8337273e+25,-1.8600634,0.14999999
-1.0,1.1917969e+25,34.23079,-10.054086,3.455834,84,1.5,,-2.0239282,-3.455834,3.791095e+24,84,576.4092,,999,-59.69286,1.0938812e-17,25,83916,-10.0,-28.672523,6.627497e-07,inf,999.0,6.8620143,,-9.637862,43.295750856399536,2.8678632e+25,-1.8620142,0.14999999
-1.0,34402730000000.0,34.23079,-10.06592,3.455834,85,1.5,,-1.4980651,-3.455834,3.790078e+24,85,582.9072,,999,-32.22252,1.1069022e-17,25,84915,-10.0,-28.717756,6.472474e-07,inf,999.0,6.8577323,,-11.577518,43.79744863510132,2.9020007e+25,-1.8577324,0.14999999
-1.0,1042.3391,34.23079,-10.077616,3.455834,86,1.5,,-1.6657741,-3.455834,3.7890708e+24,86,589.573,,999,-7.499415,1.1199244e-17,25,85914,-10.0,-28.474417,6.3228265e-07,inf,999.0,6.8555,,-13.362051,44.349199056625366,2.9361415e+25,-1.8555003,0.14999999
