GridSize,ReturnMean,Iteration,ReturnAbsMax,AvgEpLen,DenMISELogFirst,MountainCar_std1_higher,DenMISELogLast,ReturnMin,NumTrainableParams,IWLastEpisode,ReturnMax,MountainCar_mu1_higher,NumTrajectories,MountainCar_std0_higher,TimestepsSoFar,Delta,ReturnStepMax,Regret,DenMISEMeanLog,IWMax,MountainCar_mu0_higher,ReturnLastEpisode,Bound,IWMin,MinEpLen,TimeElapsed,IWMean,ActionIn1,IWFirstEpisode,Regret/t
16,-1.4733449,11,2.0099242,999.0,-0.74742514,1.5,-57.65994,-2.0099242,,1.2994496e+24,,-10.0,11,0.14999999,10989,5.9108123e-05,20.341354,71.206795,-16.884424,1.2994496e+24,-1.0,-1.4618917,inf,,999,5.604631662368774,1.70919e+23,-10.481092,5.620343e-19,6.473345
16,-1.5141319,12,2.0099242,999.0,-0.83443654,1.5,-4.6671834,-2.0099242,,69.68617,,-10.0,12,0.14999999,11988,4.966725e-05,20.341354,78.169586,-15.882843,1.4175785e+24,-1.0,-1.9627876,inf,,999,6.02154016494751,1.6952401e+23,-13.566661,6.1312943e-19,6.514132
16,-1.5280902,13,2.0099242,999.0,-0.91447926,1.5,-57.826992,-2.0099242,,1.911341e+24,,-10.0,13,0.14999999,12987,4.232002e-05,20.341354,84.86517,-19.123196,1.911341e+24,-1.0,-1.6955904,inf,,999,6.436429738998413,3.153805e+23,-11.136688,6.6422174e-19,6.5280905
16,-1.5405282,14,2.0099242,999.0,-0.9885872,1.5,1.0249486,-2.0099242,,0.23680303,,-10.0,14,0.14999999,13986,3.649022e-05,20.341354,91.5674,-17.701584,2.0583674e+24,-1.0,-1.7022195,inf,,999,6.8605992794036865,3.14385e+23,-8.89352,7.153158e-19,6.5405283
16,-1.5656415,15,2.0099242,999.0,-1.0575801,1.5,-57.970093,-2.0099242,,3.9392094e+24,,-10.0,15,0.14999999,14985,3.178704e-05,20.341354,98.48462,-20.401285,3.9392094e+24,-1.0,-1.917228,inf,,999,7.290572643280029,5.7614154e+23,-10.993169,7.664096e-19,6.5656414
16,-1.5865656,16,2.0099242,999.0,-1.1221186,1.5,1.8815325,-2.0099242,,0.10745068,,-10.0,16,0.14999999,15984,2.7937827e-05,20.341354,105.38505,-19.026114,4.2018172e+24,-1.0,-1.9004287,inf,,999,7.702617406845093,5.753946e+23,-10.231164,8.175055e-19,6.5865655
25,-1.60206,17,2.0099242,999.0,-1.1827432,1.5,-11.018686,-2.0099242,,37887.68,,-10.0,17,0.14999999,16983,1.6181184e-05,20.341354,112.235016,-18.570484,4.4644415e+24,-1.0,-1.8499691,inf,,999,8.126144886016846,5.7474074e+23,-9.942832,8.685984e-19,6.60206
25,-1.6580061,18,2.6090896,999.0,-1.2399017,1.5,-35.685894,-2.6090896,,507609230000000.0,,-10.0,18,0.14999999,17982,1.4433218e-05,26.28789,119.84411,-19.53499,4.7270424e+24,-1.0,-2.6090896,inf,,999,8.789350748062134,5.741592e+23,-9.736839,9.196933e-19,6.658006
25,-1.7107817,19,2.6607406,999.0,-1.2939689,1.5,-49.151283,-2.6607406,,2.8142755e+20,,-10.0,19,0.14999999,18981,1.2953912e-05,26.653421,127.50485,-21.105925,4.9896673e+24,-1.0,-2.6607406,inf,,999,9.220128059387207,5.7365836e+23,-13.74775,9.707859e-19,6.7107816
25,-1.7128689,20,2.6607406,999.0,-1.3452622,1.5,-58.257774,-2.6607406,,2.3711645e+24,,-10.0,20,0.14999999,19980,1.1690906e-05,26.653421,134.25739,-22.974457,5.252277e+24,-1.0,-1.7525291,inf,,999,9.65874719619751,6.917517e+23,-7.5493712,1.021879e-18,6.7128687
25,-1.6984056,21,2.6607406,999.0,-1.3940523,1.5,-58.306564,-2.6607406,,7.6509975e+23,,-10.0,21,0.14999999,20979,1.0603995e-05,26.653421,140.66652,-24.669262,5.5148893e+24,-1.0,-1.4091382,inf,,999,10.092650890350342,7.277659e+23,-9.075408,1.0729727e-18,6.6984057
25,-1.7083236,22,2.6607406,999.0,-1.4405724,1.5,-58.353085,-2.6607406,,6.761006e+24,,-10.0,22,0.14999999,21978,9.661905e-06,26.653421,147.58311,-26.213745,6.761006e+24,-1.0,-1.916601,inf,,999,10.53298544883728,1.0347047e+24,-11.886864,1.1240669e-18,6.7083235
25,-1.7237076,23,2.6607406,999.0,-1.4850241,1.5,-13.581708,-2.6607406,,450161.9,,-10.0,23,0.14999999,22977,8.840006e-06,26.653421,154.64528,-25.67877,7.068331e+24,-1.0,-2.062157,inf,,999,10.970398187637329,1.0343597e+24,-9.809082,1.1751618e-18,6.7237077
25,-1.725891,24,2.6607406,999.0,-1.5275837,1.5,-27.6066,-2.6607406,,496921480000.0,,-10.0,24,0.14999999,23976,8.118685e-06,26.653421,161.42139,-25.772133,7.375657e+24,-1.0,-1.7761095,inf,,999,11.409515142440796,1.03404434e+24,-10.788286,1.2262571e-18,6.725891
25,-1.7352463,25,2.6607406,999.0,-1.5684057,1.5,0.6149871,-2.6607406,,0.37079456,,-10.0,25,0.14999999,24975,7.4821796e-06,26.653421,168.38116,-24.728628,7.6829686e+24,-1.0,-1.9597759,inf,,999,11.85075831413269,1.03375294e+24,-10.734253,1.27735e-18,6.735246
36,-1.7548997,26,2.6607406,999.0,-1.6076264,1.5,-1.609641,-2.6607406,,2.5461564,,-10.0,26,0.14999999,25974,4.861083e-06,26.653421,175.6274,-23.850483,7.990273e+24,-1.0,-2.2462335,inf,,999,12.282627582550049,1.03348345e+24,-11.344047,1.3284467e-18,6.7549
36,-1.7311635,27,2.6607406,999.0,-1.6453668,1.5,-7.5481095,-2.6607406,,287.9312,,-10.0,27,0.14999999,26973,4.507671e-06,26.653421,181.74141,-23.256908,8.2976107e+24,-1.0,-1.1140187,inf,,999,13.270461559295654,1.0332385e+24,-10.051939,1.3795386e-18,6.7311635
36,-1.7392206,28,2.6607406,999.0,-1.6817344,1.5,-18.981405,-2.6607406,,99530590.0,,-10.0,28,0.14999999,27972,4.191444e-06,26.653421,188.69818,-23.113691,8.604911e+24,-1.0,-1.956764,inf,,999,13.74601697921753,1.0330069e+24,-10.332385,1.430635e-18,6.7392206
36,-1.7305183,29,2.6607406,999.0,-1.7168257,1.5,-4.794511,-2.6607406,,53.64913,,-10.0,29,0.14999999,28971,3.9073634e-06,26.653421,195.18503,-22.490816,8.9122297e+24,-1.0,-1.4868565,inf,,999,14.216942071914673,1.0327939e+24,-12.641426,1.4817293e-18,6.7305183
36,-1.7240145,30,2.6607406,999.0,-1.7507273,1.5,-58.662964,-2.6607406,,8.006964e+24,,-10.0,30,0.14999999,29970,3.6512142e-06,26.653421,201.72043,-23.704777,9.219545e+24,-1.0,-1.535405,inf,,999,14.67338252067566,1.2994939e+24,-9.185134,1.5328229e-18,6.7240143
36,-1.7255533,31,2.6607406,999.0,-1.7835171,1.5,-58.695892,-2.6607406,,1.0426928e+25,,-10.0,31,0.14999999,30969,3.419451e-06,26.653421,208.49216,-24.842306,1.0426928e+25,-1.0,-1.7717166,inf,,999,15.133286952972412,1.6356593e+24,-13.183443,1.583913e-18,6.7255535
36,-1.7212532,32,2.6607406,999.0,-1.8152658,1.5,-58.72778,-2.6607406,,5.66926e+24,,-10.0,32,0.14999999,31968,3.2090745e-06,26.653421,215.08011,-25.910477,1.076325e+25,-1.0,-1.5879507,inf,,999,15.592888355255127,1.8126471e+24,-8.311144,1.6350086e-18,6.7212534
36,-1.7090921,33,2.6607406,999.0,-1.8460374,1.5,-58.75855,-2.6607406,,2.674814e+24,,-10.0,33,0.14999999,32967,3.017532e-06,26.653421,221.40004,-26.915522,1.1099534e+25,-1.0,-1.3199342,inf,,999,16.060263872146606,1.8935316e+24,-11.69357,1.6861052e-18,6.709092
36,-1.7105435,34,2.6607406,999.0,-1.8758904,1.5,-9.797287,-2.6607406,,11061.331,,-10.0,34,0.14999999,33966,2.8426405e-06,26.653421,228.15848,-26.422024,1.1435849e+25,-1.0,-1.7584378,inf,,999,16.52588438987732,1.8933767e+24,-9.7749,1.7371943e-18,6.7105436
36,-1.7174157,35,2.6607406,999.0,-1.9048779,1.5,-32.719418,-2.6607406,,80137030000000.0,,-10.0,35,0.14999999,34965,2.6825242e-06,26.653421,235.10956,-26.611355,1.1772156e+25,-1.0,-1.9510761,inf,,999,16.989087104797363,1.8932285e+24,-9.605579,1.7882888e-18,6.717416
36,-1.7160531,36,2.6607406,999.0,-1.9330488,1.5,-36.875668,-2.6607406,,4386162000000000.0,,-10.0,36,0.14999999,35964,2.5355653e-06,26.653421,241.77791,-26.905352,1.210842e+25,-1.0,-1.6683608,inf,,999,17.462366819381714,1.893088e+24,-11.088627,1.839384e-18,6.716053
49,-1.7181537,37,2.6607406,999.0,-1.9604478,1.5,1.6028299,-2.6607406,,0.13934386,,-10.0,37,0.14999999,36963,1.7762662e-06,26.653421,248.57169,-26.143255,1.2444742e+25,-1.0,-1.7937703,inf,,999,17.92684578895569,1.8929537e+24,-11.812969,1.8904818e-18,6.718154
49,-1.7239739,38,2.6607406,999.0,-1.9871161,1.5,-11.84746,-2.6607406,,84844.516,,-10.0,38,0.14999999,37962,1.6840087e-06,26.653421,255.51102,-25.775,1.2780993e+25,-1.0,-1.9393232,inf,,999,19.50390100479126,1.8928278e+24,-12.621132,1.9415763e-18,6.7239738
49,-1.7328311,39,2.6607406,999.0,-2.0130916,1.5,-52.67534,-2.6607406,,2.8888416e+22,,-10.0,39,0.14999999,38961,1.5987564e-06,26.653421,262.5804,-26.472286,1.3117269e+25,-1.0,-2.0694108,inf,,999,20.013206243515015,1.8934513e+24,-11.120504,1.9926682e-18,6.732831
49,-1.7421881,40,2.6607406,999.0,-2.0384092,1.5,1.7630025,-2.6607406,,0.10789175,,-10.0,40,0.14999999,39960,1.5198176e-06,26.653421,269.68753,-25.773565,1.3453562e+25,-1.0,-2.1071036,inf,,999,20.518728256225586,1.8933153e+24,-14.536049,2.0437627e-18,6.742188
49,-1.73589,41,2.6607406,999.0,-2.063102,1.5,-58.975613,-2.6607406,,1.10258034e+24,,-10.0,41,0.14999999,40959,1.4465845e-06,26.653421,276.1715,-26.590178,1.3789847e+25,-1.0,-1.4839674,inf,,999,21.007376194000244,1.9200807e+24,-9.674851,2.0948568e-18,6.73589
49,-1.7373577,42,2.6607406,999.0,-2.0871994,1.5,-35.729927,-2.6607406,,1577969100000000.0,,-10.0,42,0.14999999,41958,1.3785193e-06,26.653421,282.96902,-26.81486,1.4126129e+25,-1.0,-1.7975351,inf,,999,21.508362293243408,1.9199609e+24,-11.537597,2.1459505e-18,6.7373576
49,-1.7482195,43,2.6607406,999.0,-2.11073,1.5,-2.4390364,-2.6607406,,6.027181,,-10.0,43,0.14999999,42957,1.3151479e-06,26.653421,290.17343,-26.254719,1.446239e+25,-1.0,-2.2044148,inf,,999,22.02344512939453,1.9198488e+24,-9.993194,2.1970413e-18,6.7482195
49,-1.7385644,44,2.6607406,999.0,-2.1337194,1.5,-13.9075165,-2.6607406,,318213.8,,-10.0,44,0.14999999,43956,1.2560477e-06,26.653421,296.49683,-25.98053,1.4798636e+25,-1.0,-1.3233972,inf,,999,22.522145986557007,1.9197355e+24,-16.067066,2.2481392e-18,6.7385645
49,-1.7356948,45,2.6607406,999.0,-2.1561923,1.5,-59.068707,-2.6607406,,7.634638e+22,,-10.0,45,0.14999999,44955,1.2008437e-06,26.653421,303.10626,-26.721964,1.5134904e+25,-1.0,-1.6094339,inf,,999,23.01094627380371,1.9213322e+24,-11.263193,2.299232e-18,6.735695
49,-1.741664,46,2.6607406,999.0,-2.1781712,1.5,0.8337246,-2.6607406,,0.2905155,,-10.0,46,0.14999999,45954,1.1492007e-06,26.653421,310.11655,-26.129288,1.5471198e+25,-1.0,-2.010285,inf,,999,23.511287450790405,1.9212288e+24,-8.312918,2.3503204e-18,6.741664
49,-1.7362125,47,2.6607406,999.0,-2.1996775,1.5,-59.11219,-2.6607406,,5.319442e+24,,-10.0,47,0.14999999,46953,1.1008185e-06,26.653421,316.602,-26.837143,1.5807424e+25,-1.0,-1.4854432,inf,,999,23.993059873580933,2.0343124e+24,-10.574864,2.401417e-18,6.7362127
49,-1.745738,48,2.6607406,999.0,-2.2207308,1.5,-4.468404,-2.6607406,,46.046173,,-10.0,48,0.14999999,47952,1.055429e-06,26.653421,323.7954,-26.377405,1.614369e+25,-1.0,-2.193436,inf,,999,24.49706196784973,2.0342195e+24,-10.875335,2.4525107e-18,6.745738
49,-1.7496494,49,2.6607406,999.0,-2.2413502,1.5,1.4354283,-2.6607406,,0.16549236,,-10.0,49,0.14999999,48951,1.0127897e-06,26.653421,330.73282,-25.81582,1.647994e+25,-1.0,-1.937385,inf,,999,25.0156307220459,2.0341297e+24,-10.256112,2.5036025e-18,6.7496495
64,-1.7686139,50,2.6978757,999.0,-2.2615528,1.5,-21.383945,-2.6978757,,275345820.0,,-10.0,50,0.14999999,49950,7.48218e-07,27.166306,338.4307,-25.732964,1.68162e+25,-1.0,-2.6978757,inf,,999,25.51414132118225,2.034045e+24,-11.155623,2.5546962e-18,6.768614
64,-1.7593521,51,2.6978757,999.0,-2.2813556,1.5,-1.5099483,-2.6978757,,1.4030781,,-10.0,51,0.14999999,50949,7.1916367e-07,27.166306,344.72696,-25.263557,1.7152449e+25,-1.0,-1.2962725,inf,,999,27.896229028701782,2.0339615e+24,-9.34318,2.6057988e-18,6.759352
64,-1.7479708,52,2.6978757,999.0,-2.3007736,1.5,-43.31839,-2.6978757,,7.213905e+17,,-10.0,52,0.14999999,51948,6.9176957e-07,27.166306,350.89447,-25.616106,1.7488682e+25,-1.0,-1.1675214,inf,,999,28.434105396270752,2.0338858e+24,-10.847239,2.6568894e-18,6.7479706
64,-1.7631859,53,2.6978757,999.0,-2.3198218,1.5,-1.8115666,-2.6978757,,1.6717384,,-10.0,53,0.14999999,52947,6.6591133e-07,27.166306,358.44885,-25.1721,1.782491e+25,-1.0,-2.5543637,inf,,999,28.979350328445435,2.0338074e+24,-7.876165,2.7079796e-18,6.763186
64,-1.7663355,54,2.6978757,999.0,-2.3385139,1.5,-59.251026,-2.6978757,,4.2606174e+24,,-10.0,54,0.14999999,53946,6.414763e-07,27.166306,365.3821,-25.808132,1.8161158e+25,-1.0,-1.9332694,inf,,999,29.52550458908081,2.1126348e+24,-13.225611,2.7590733e-18,6.7663355
64,-1.7659258,55,2.6978757,999.0,-2.356863,1.5,-59.269375,-2.6978757,,1.2211862e+25,,-10.0,55,0.14999999,54945,6.18362e-07,27.166306,372.12592,-26.421625,1.8497397e+25,-1.0,-1.7437912,inf,,999,30.063714265823364,2.3345964e+24,-14.393139,2.8101768e-18,6.765926
64,-1.7755702,56,2.6978757,999.0,-2.3748815,1.5,-59.287395,-2.6978757,,2.4038513e+24,,-10.0,56,0.14999999,55944,5.964747e-07,27.166306,379.43195,-27.013762,1.8833609e+25,-1.0,-2.3060226,inf,,999,30.589340925216675,2.377457e+24,-9.892044,2.8612661e-18,6.77557
64,-1.7808292,57,2.6978757,999.0,-2.3925812,1.5,-28.68653,-2.6978757,,1366546400000.0,,-10.0,57,0.14999999,56943,5.757294e-07,27.166306,386.50726,-27.048485,1.9169862e+25,-1.0,-2.0753348,inf,,999,31.111639499664307,2.3773852e+24,-10.78576,2.912362e-18,6.7808294
64,-1.7874237,58,2.6978757,999.0,-2.409973,1.5,-0.3209358,-2.6978757,,0.7935023,,-10.0,58,0.14999999,57942,5.560479e-07,27.166306,393.6706,-26.592861,1.9506092e+25,-1.0,-2.1633122,inf,,999,31.649737119674683,2.3773273e+24,-9.363974,2.9634544e-18,6.7874236
64,-1.7847121,59,2.6978757,999.0,-2.4270673,1.5,-51.88071,-2.6978757,,1.2113438e+22,,-10.0,59,0.14999999,58941,5.373585e-07,27.166306,400.298,-27.026484,1.9842312e+25,-1.0,-1.6274339,inf,,999,32.192715644836426,2.3774696e+24,-10.455521,3.014546e-18,6.784712
64,-1.7808359,60,2.6978757,999.0,-2.4438744,1.5,-2.4128194,-2.6978757,,5.568647,,-10.0,60,0.14999999,59940,5.1959586e-07,27.166306,406.85016,-26.621105,2.0178554e+25,-1.0,-1.552135,inf,,999,32.72053050994873,2.3774067e+24,-13.597351,3.0656414e-18,6.780836
64,-1.7784207,61,2.6978757,999.0,-2.4604037,1.5,-59.372917,-2.6978757,,7.797501e+24,,-10.0,61,0.14999999,60939,5.026995e-07,27.166306,413.48367,-27.16271,2.0514702e+25,-1.0,-1.6335113,inf,,999,33.23971605300903,2.505172e+24,-10.914432,3.1167347e-18,6.7784204
64,-1.7810613,62,2.6978757,999.0,-2.4766643,1.5,1.7454869,-2.6978757,,0.12307537,,-10.0,62,0.14999999,61938,4.8661417e-07,27.166306,420.42578,-26.70125,2.0850961e+25,-1.0,-1.9421362,inf,,999,33.786354064941406,2.5051082e+24,-15.169693,3.1678335e-18,6.781061
64,-1.7861236,63,2.6978757,999.0,-2.4926646,1.5,-59.405178,-2.6978757,,9.5915604e+23,,-10.0,63,0.14999999,62937,4.7128867e-07,27.166306,427.5258,-27.225008,2.1187155e+25,-1.0,-2.0999856,inf,,999,34.348517656326294,2.5202795e+24,-9.833954,3.2189229e-18,6.7861238
64,-1.7985454,64,2.6978757,999.0,-2.508413,1.5,-40.92483,-2.6978757,,1.0627995e+17,,-10.0,64,0.14999999,63936,4.56676e-07,27.166306,435.1069,-27.443825,2.152335e+25,-1.0,-2.5811222,inf,,999,34.880608320236206,2.5202207e+24,-11.961919,3.2700127e-18,6.7985454
81,-1.8064287,65,2.6978757,999.0,-2.5239172,1.5,-13.550166,-2.6978757,,304540.2,,-10.0,65,0.14999999,64935,3.5094652e-07,27.166306,442.41785,-27.23468,2.185954e+25,-1.0,-2.3109572,inf,,999,35.41867184638977,2.5201625e+24,-12.244096,3.321115e-18,6.806429
81,-1.8064723,66,2.6978757,999.0,-2.5391846,1.5,-33.301353,-2.6978757,,143544170000000.0,,-10.0,66,0.14999999,65934,3.4039232e-07,27.166306,449.22717,-27.331066,2.2195734e+25,-1.0,-1.809313,inf,,999,39.28329610824585,2.520115e+24,-9.45292,3.3722057e-18,6.8064723
81,-1.8157138,67,2.6978757,999.0,-2.5542226,1.5,-59.456615,-2.6978757,,1.3029943e+25,,-10.0,67,0.14999999,66933,3.3030722e-07,27.166306,456.65283,-27.814886,2.253194e+25,-1.0,-2.4256542,inf,,999,39.89585852622986,2.7145398e+24,-12.527327,3.4232985e-18,6.815714
81,-1.8296517,68,2.7634869,999.0,-2.5690377,1.5,-34.816467,-2.7634869,,130305670000000.0,,-10.0,68,0.14999999,67932,3.206637e-07,27.902008,464.41632,-27.922274,2.2868175e+25,-1.0,-2.7634869,inf,,999,40.47580814361572,2.7144557e+24,-10.640367,3.474397e-18,6.829652
81,-1.8302082,69,2.7634869,999.0,-2.5836363,1.5,-0.95018727,-2.7634869,,1.7771634,,-10.0,69,0.14999999,68931,3.1143645e-07,27.902008,471.28436,-27.53567,2.3204385e+25,-1.0,-1.868046,inf,,999,41.04499101638794,2.714377e+24,-11.27087,3.525491e-18,6.8302083
81,-1.8311073,70,2.7634869,999.0,-2.598025,1.5,0.4136537,-2.7634869,,0.45985204,,-10.0,70,0.14999999,69930,3.0260182e-07,27.902008,478.1775,-27.140566,2.3540508e+25,-1.0,-1.8931448,inf,,999,41.61197018623352,2.7143e+24,-11.805459,3.576586e-18,6.831107
81,-1.8382573,71,2.7634869,999.0,-2.6122098,1.5,-8.151421,-2.7634869,,1370.2275,,-10.0,71,0.14999999,70929,2.9413786e-07,27.902008,485.51627,-26.877167,2.3876765e+25,-1.0,-2.338765,inf,,999,42.1849160194397,2.714229e+24,-9.141275,3.627674e-18,6.8382573
81,-1.8293127,72,2.7634869,999.0,-2.626196,1.5,-57.68214,-2.7634869,,1.293569e+24,,-10.0,72,0.14999999,71928,2.8602412e-07,27.902008,491.7105,-27.308954,2.4212924e+25,-1.0,-1.1942382,inf,,999,42.77228546142578,2.732117e+24,-12.393501,3.6787766e-18,6.829313
81,-1.8390789,73,2.7634869,999.0,-2.6399894,1.5,-30.393473,-2.7634869,,3224853000000.0,,-10.0,73,0.14999999,72927,2.7824152e-07,27.902008,499.25275,-27.35507,2.454914e+25,-1.0,-2.5422606,inf,,999,43.379295349121094,2.731834e+24,-11.071115,3.7298587e-18,6.839079
81,-1.84444,74,2.7634869,999.0,-2.653595,1.5,1.6248381,-2.7634869,,0.10522345,,-10.0,74,0.14999999,73926,2.707723e-07,27.902008,506.48856,-26.967205,2.488527e+25,-1.0,-2.2357802,inf,,999,43.986180782318115,2.7315575e+24,-8.550973,3.780958e-18,6.84444
81,-1.8485519,75,2.7634869,999.0,-2.667018,1.5,-59.57953,-2.7634869,,1.0851061e+25,,-10.0,75,0.14999999,74925,2.6359982e-07,27.902008,513.64136,-27.405693,2.5221486e+25,-1.0,-2.1528387,inf,,999,44.64250612258911,2.87596e+24,-11.514795,3.8320556e-18,6.8485518
81,-1.8486654,76,2.7634869,999.0,-2.6802633,1.5,-3.981651,-2.7634869,,35.734924,,-10.0,76,0.14999999,75924,2.5670863e-07,27.902008,520.49854,-27.10122,2.555766e+25,-1.0,-1.8571608,inf,,999,45.25227189064026,2.8756998e+24,-9.989129,3.8831473e-18,6.848665
81,-1.8510318,77,2.7634869,999.0,-2.6933353,1.5,-22.855518,-2.7634869,,4456376300.0,,-10.0,77,0.14999999,76923,2.5008418e-07,27.902008,527.5294,-27.049719,2.5893768e+25,-1.0,-2.0308983,inf,,999,45.86902642250061,2.875431e+24,-11.026274,3.9342447e-18,6.851032
81,-1.853157,78,2.7634869,999.0,-2.7062387,1.5,1.8799561,-2.7634869,,0.102413684,,-10.0,78,0.14999999,77922,2.4371286e-07,27.902008,534.54626,-26.682367,2.6229896e+25,-1.0,-2.016802,inf,,999,46.51230001449585,2.8751776e+24,-11.257824,3.9853305e-18,6.853157
81,-1.8603164,79,2.7634869,999.0,-2.7189777,1.5,1.1283016,-2.7634869,,0.11979832,,-10.0,79,0.14999999,78921,2.3758197e-07,27.902008,541.96497,-26.333786,2.6566132e+25,-1.0,-2.4187462,inf,,999,47.12621283531189,2.8749228e+24,-11.053955,4.036433e-18,6.8603163
81,-1.8487768,80,2.7634869,999.0,-2.7315564,1.5,-4.0008807,-2.7634869,,2.961042,,-10.0,80,0.14999999,79920,2.3167952e-07,27.902008,547.90216,-26.057995,2.6902261e+25,-1.0,-0.9371503,inf,,999,47.725406885147095,2.8746804e+24,-11.225643,4.0875196e-18,6.848777
81,-1.8479735,81,2.7634869,999.0,-2.743979,1.5,0.4747907,-2.7634869,,0.4252076,,-10.0,81,0.14999999,80919,2.2599437e-07,27.902008,554.68585,-25.733711,2.7238386e+25,-1.0,-1.7837057,inf,,999,48.358351707458496,2.8744336e+24,-11.107172,4.138622e-18,6.8479733
100,-1.8455681,82,2.7634869,999.0,-2.7562492,1.5,0.93323165,-2.7634869,,0.23280361,,-10.0,82,0.14999999,81918,1.7903274e-07,27.902008,561.33655,-25.411707,2.7574606e+25,-1.0,-1.6507156,inf,,999,48.96250653266907,2.874201e+24,-12.268281,4.1897074e-18,6.845568
100,-1.8470746,83,2.7634869,999.0,-2.7683704,1.5,-31.803917,-2.7634869,,31814290000000.0,,-10.0,83,0.14999999,82917,1.7474466e-07,27.902008,568.3072,-25.491846,2.7910717e+25,-1.0,-1.9706123,inf,,999,55.01330924034119,2.8739624e+24,-9.278728,4.240809e-18,6.8470745
100,-1.8345454,84,2.7634869,999.0,-2.7803466,1.5,-40.94015,-2.7634869,,1.0269377e+16,,-10.0,84,0.14999999,83916,1.7060884e-07,27.902008,574.1018,-25.678804,2.824683e+25,-1.0,-0.794612,inf,,999,55.67367172241211,2.8737376e+24,-10.988706,4.291895e-18,6.834545
100,-1.8329194,85,2.7634869,999.0,-2.7921813,1.5,1.7867684,-2.7634869,,0.10780875,,-10.0,85,0.14999999,84915,1.6661815e-07,27.902008,580.79816,-25.358658,2.8582958e+25,-1.0,-1.6963398,inf,,999,56.348469972610474,2.8735104e+24,-12.811037,4.343e-18,6.832919
